"Tree_ID","Address","Tree_Species","Species_Desc","Common_Name","Age_Desc","Height","Spread","Trunk","Actual_Trunk_cm","Condition","Lat","Long"
29392,"Ridgewood Avenue, Forrest Great","TICO","Tilia cordata","Small-Leafed Lime","Young",NA,"Up to 3 metres","1cm - 10cm",9,"Good",53.4456815224,-6.2464001989
246532,"Lanesborough Grove, Saint Margaret's","TICO","Tilia cordata","Small-Leafed Lime","Young","10 metres","3 to 6 metres","1cm - 10cm",10,"Fair to Good",53.4046360946,-6.2917260437
16416,"Swords Manor Grove, Swords","ACCA","Acer campestre","Field Maple","Semi-Mature","10 metres","3 to 6 metres","21cm to 30cm",21,"Fair to Good",53.4601552828,-6.2433818487
1512,"Turvey Drive, Donabate","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Young","10 metres","6 to 9 metres","11cm to 20cm",12,"Fair",53.4867423718,-6.1559646252
3208,"Beverton Close, Donabate","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Semi-Mature",NA,"Up to 3 metres","1cm - 10cm",5,"Poor",53.4890673275,-6.160555862
263404,"Cherryfield View, Blanchardstown","","","","",NA,"","",0,"",53.393109722,-6.4244113086
41244,"Talbot Avenue, Malahide","TISP","Tilia spp.","Lime","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",19,"Good",53.4479525803,-6.1810817309
648,"Oaklands Park, Swords","PRSPA","Prunus serrulata","Japanese Cherry","Over-Mature","10 metres","6 to 9 metres","31cm to 40cm",31,"Fair - Poor",53.4571875367,-6.2176250181
4056,"Glen Ellan Avenue, Swords","ACPL","Acer platanoides","Norway Maple","Young","10 metres","Up to 3 metres","11cm to 20cm",11,"Good",53.4674011179,-6.2274253672
4256,"Glen Ellan Park, Swords","ACPL","Acer platanoides","Norway Maple","Young","10 metres","3 to 6 metres","11cm to 20cm",13,"Good",53.4682490844,-6.2287062488
4264,"Glen Ellan Park, Swords","ACPL","Acer platanoides","Norway Maple","Young","10 metres","3 to 6 metres","11cm to 20cm",14,"Good",53.4682669257,-6.2289458614
15480,"Berwick Avenue, Swords","LIQAM","Liquidamber styraciflua","Sweet Gum","Young",NA,"Up to 3 metres","1cm - 10cm",7,"Fair - Poor",53.4612460652,-6.2493278181
15484,"Berwick Avenue, Swords","ACPS","Acer pseudoplatanus","Sycamore","Semi-Mature","10 metres","3 to 6 metres","21cm to 30cm",29,"Fair",53.4608624363,-6.2493942024
27248,"Tara Court, Balbriggan","ACPL","Acer platanoides","Norway Maple","Mature"," 15 metres","3 to 6 metres","21cm to 30cm",22,"Good",53.6081466777,-6.1905032143
29512,"Ridgewood Avenue, Forrest Great","TISP","Tilia spp.","Lime","Young",NA,"Up to 3 metres","11cm to 20cm",11,"Good",53.4452724294,-6.2447579076
29520,"Ridgewood Avenue, Forrest Great","TISP","Tilia spp.","Lime","Young",NA,"Up to 3 metres","1cm - 10cm",9,"Good",53.4453602479,-6.244985781
52504,"Ard Na Mara, Malahide","ACPL","Acer platanoides","Norway Maple","Semi-Mature"," 15 metres","6 to 9 metres","21cm to 30cm",24,"Good",53.4494745697,-6.1746399057
27316,"Tara Court, Balbriggan","ACPS","Acer pseudoplatanus","Sycamore","Mature","10 metres","6 to 9 metres","21cm to 30cm",25,"Good",53.6086507967,-6.1919240432
27356,"Tara Court, Balbriggan","ACPS","Acer pseudoplatanus","Sycamore","Mature"," 15 metres","9 to 12 metres","31cm to 40cm",38,"Good",53.6090020915,-6.1904942707
28428,"Ridgewood Close, Swords","ACPL","Acer platanoides","Norway Maple","Young",NA,"Up to 3 metres","1cm - 10cm",5,"Good",53.4482748469,-6.2476638723
48116,"Seabury Drive, Malahide","ACPS","Acer pseudoplatanus","Sycamore","Semi-Mature","10 metres","6 to 9 metres","21cm to 30cm",30,"Good",53.4543580421,-6.1779375884
48428,"Seabury Parade, Malahide","ACPL","Acer platanoides","Norway Maple","Young","10 metres","3 to 6 metres","11cm to 20cm",12,"Good",53.4550638452,-6.1799785184
48444,"Seabury Parade, Malahide","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",18,"Good",53.4554335154,-6.1796942619
246568,"Lanesborough Grove, Saint Margaret's","ACPL","Acer platanoides","Norway Maple","Young","10 metres","3 to 6 metres","11cm to 20cm",17,"Fair to Good",53.4040415875,-6.2915760457
18428,"Milesian Lawn, Swords","ACPL","Acer platanoides","Norway Maple","Mature"," 15 metres","9 to 12 metres","41cm - 50cm",49,"Fair",53.4519509483,-6.2074889712
18456,"Milesian Lawn, Swords","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","6 to 9 metres","21cm to 30cm",21,"Fair",53.4515089472,-6.2074247978
246400,"Lanesborough Grove, Saint Margaret's","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","3 to 6 metres","11cm to 20cm",20,"Fair to Good",53.4022715452,-6.2917475915
2004,"Beverton Green, Donabate","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Semi-Mature",NA,"Up to 3 metres","1cm - 10cm",7,"Fair",53.4905512846,-6.1565211951
2024,"Beverton Green, Donabate","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Young",NA,"Up to 3 metres","",0,"Fair to Good",53.4913639591,-6.1567172254
32520,"Greenlawns, Skerries","BESP","Betula spp.","Birch","Young",NA,"Up to 3 metres","1cm - 10cm",6,"Poor",53.572284068,-6.1148252996
207000,"Burrow Court Carrickhill Hts","ACPL","Acer platanoides","Norway Maple","Mature"," 15 metres","6 to 9 metres","31cm to 40cm",39,"Fair to Good",53.4294037907,-6.1295667739
20012,"Brookdale Road, Swords","PRSPA","Prunus serrulata","Japanese Cherry","Semi-Mature",NA,"6 to 9 metres","21cm to 30cm",24,"Fair",53.454682769,-6.2484584305
20800,"Brookdale Park, Swords","MASP","Malus spp.","Crab apple","Young","10 metres","3 to 6 metres","11cm to 20cm",19,"Good",53.4524786996,-6.2474557887
412,"Tower View Heights, Portrane","ACPL","Acer platanoides","Norway Maple","Young",NA,"Up to 3 metres","1cm - 10cm",6,"Fair to Good",53.4913549233,-6.1060791443
416,"Tower View Heights, Portrane","ACPL","Acer platanoides","Norway Maple","Young",NA,"Up to 3 metres","1cm - 10cm",7,"Fair to Good",53.4913457153,-6.1061898555
17852,"Cianlea, Swords","PYCA","Pyrus calleryana","Pear","Young","10 metres","Up to 3 metres","",0,"Fair to Good",53.4672188402,-6.2390187012
